case_id,song1_artist,song1_title,song1_evidence,song2_artist,song2_title,song2_evidence,pair_evidence,is_melodic_comparison,melodic_evidence,was_case_won,case_won_evidence
147,Kid Ory,Muskrat Ramble,Kid Ory wrote a Dixieland jazz melody titled 'Muskrat Ramble' in 1921.,Country Joe McDonald,I Feel Like I'm Fixin' to Die Rag,"Plaintiff alleges that a song written by McDonald in 1965, 'I Feel Like I'm Fixin' to Die Rag,' infringes 'Muskrat Ramble.'",It is obvious from hearing recordings of the two numbers that the defendant was influenced by 'Muskrat Ramble.',True,"The opening 'one, two, three…' of 'Fixin’ to Die' is lifted directly from the little sequence of 'Muskrat.'",False,...awarding the defendant not only summary judgment but attorneys’ fees as well.
148,John L. Jorgensen,Long Lost Lover,"Jorgensen, a musician and songwriter, wrote and copyrighted a song entitled âLong Lost Loverâ",Celine Dion,My Heart Will Go On,"âHeart,â was the Academy Award-winning theme song for the 1997 blockbuster movie Titanic.",Jorgensen claims has been infringed upon by the songs âMy Heart Will Go Onâ,False,Neither of the defending songs is musically or verbally similar to the plaintiffâs.,False,granting the defendantsâ motion for summary judgment and dismissing Jorgensenâs copyright infringement case in its entirety.
148,John L. Jorgensen,Long Lost Lover,"Jorgensen, a musician and songwriter, wrote and copyrighted a song entitled âLong Lost Loverâ",Lonestar,Amazed,"âAmazed,â a song written by Chris Lindsey, Aimee Mayo and Marv Green, was recorded by the country music group Lonestar",Jorgensen claims has been infringed upon by the songs... âAmazedâ,False,Neither of the defending songs is musically or verbally similar to the plaintiffâs.,False,granting the defendantsâ motion for summary judgment and dismissing Jorgensenâs copyright infringement case in its entirety.
149,"Mehmet Ergin, Christoph Lienemann",Jingle of German bank: “Wenn’s ums Geld geht-Sparkasse”,complaining_work: Jingle of German bank: “Wenn’s ums Geld geht-Sparkasse”,Nik Kershaw,Wouldn't It Be Good,defending_work: Wouldn't It Be Good,,False,,False,
150,Asei Kobayashi,Let's Go Anywhere,"Plaintiffs, the copyright owners of the complaining song alleged that the commercial song has been so popular for years.",Katsuhisa Hattori,Memorial Tree,"Infringement of a popular TV commercial song, “Let’s Go Anywhere” by a TV show theme song, “Kinenju.”",Comparative analysis by the Tokyo High Court rendered a 28-page opinion comparing them.,True,"Comparing the melodies, 92 out of 128 notes (about 72%) of the melody of the defending song were the same.",True,The Tokyo High Court found infringement.
151,Apollo Inc.,When the Sun Rises,"Apollo is a supplement drinks manufacturer headquartered in the Province of Canton, China. It owns its theme song 'When the Sun Rises' (1999).",Coca-Cola,Sunrise,Coke’s theme song-'Sunrise'-used for its commercial campaign of Sprit,Apollo claimed that Coke’s theme song-'Sunrise'-used for its commercial campaign of Sprit was strikingly similar to Apollo’s theme song 'When the Sun Rises.',True,The analysis determined that both lyrics and music of Coke’s 'Sunrise' was substantially similar to Apollo’s 'When the Sun Rises.,True,"The court adopted the experts’ reports, and found Coke had infringed Apollo’s copyrights, and granted plaintiffs a permanent injunction."
152,Xscape,One of Those Love Songs,One was recorded by the musical group Xscape and released in May 1998 on Xscape’s album 'Traces of My Lipstick.',Mariah Carey,Thank God I Found You,"Thank God was composed by defendants Carey, James Harris III, and Terry Lewis in 1999 and was released on Carey’s album 'Rainbow.'",This case concerns the alleged similarity between the choruses of two popular and contemporary rhythm and blues songs.,True,Dr. Walser opined that the two songs had substantially similar choruses.,False,The district court granted summary judgment to Carey.
153,Solomon Linda,Mbube,"In 1939, a South African migrant worker and entertainer named Solomon Linda wrote and recorded 'Mbube'.",Pete Seeger and others,The Lion Sleeps Tonight,established Solomon Linda as co-author of 'The Lion Sleeps Tonight',Linda's estate initiated litigation...entitled Linda's descendants to past and future royalties.,True,Linda as co-author of 'The Lion Sleeps Tonight' anytime it is performed.,True,the parties reached a settlement that permanently established Solomon Linda as co-author...entitled Linda’s descendants to past and future royalties.
154,Demme Ulloa,Countermelody to 'Izzo',The Vocal Phrase was derived from the Instrumental Phrase.,Jay-Z,Izzo (H.O.V.A.),"Shawn Carter, aka 'Jay Z,' chants the words of 'Izzo' over a sampled clip.",Plaintiff created the Vocal Phrase as a 'counter-melody' to the Instrumental Phrase.,True,Court declines to find that a countermelody is unoriginal as a matter of law.,False,Plaintiff’s cross motion for partial summary judgment is denied.
155,It's Only Family,Straight Like That,"Plaintiffs Ramid Brown, Theodore Green, Ronique Thomas, and Aldeen Wilson are members of a Newark-based rap group that records and performs under the name It's Only Family.",Ludacris,Stand Up,"Defendants include... artist Christopher Bridges, who records and performs under the name Ludacris.",Plaintiffs allege that their copyright in 'Straight Like That' was infringed by the defendants’ composition 'Stand Up'.,True,"both 'Straight Like That' and 'Stand Up' utilize a three-note rhythmic pattern comprised of an eighth note, quarter note, and eighth note accompanying the respective lyrics 'straight like that' and 'just like that.'",False,On June 1st the jury swiftly reached a verdict in favor of Bridges.
156,Funkadelic,Get Off Your Ass and Jam,The recording 'Get Off' opens with a three-note combination solo guitar 'riff'.,N.W.A,100 Miles and Runnin',The recording '100 Miles' contains a sample from that guitar solo.,This action arises out of the use of a sample from the composition and sound recording 'Get Off Your Ass and Jam' in the rap song '100 Miles and Runnin'.',True,The court emphasized the originality and creativity of the arpeggiated chord in the 'Get Off' sound recording.,True,Our answer to that question is in the negative.
157,Elizabeth Coffey,Forever After,,Madonna,Nothing Really Matters,,,False,,False,
158,Tia Griffin,Heart of Gold,Plaintiff states that 'Heart of Gold' contains a distinctive seven-notes rising and cascading lyrical melody.,Luther Vandross and Richard Marx,Dance With My Father,"Defendants Vandross and Marx claim to have written the allegedly infringing song at issue, 'Dance With My Father'.",Plaintiff's only claim is that a seven-note sequence contained in the 'Dance' musical composition...is similar to a portion of a musical phrase contained in the 'Heart of Gold' musical composition.,True,Plaintiff states that this recapitulating sequence or musical line is played at an Andante tempo and arranged with an upper register string orchestration.,False,"IT IS ORDERED that Defendants’ motion for summary judgment, Ct. Rec. 44, filed October 11, 2005 is GRANTED and judgment is awarded to Defendants on the claims for federal copyright infringement liability."
159,Calvin R. Johnson,You're the One (For Me),plaintiff composed two versions of the song 'You’re the One (For Me)',SWV,You're the One,SWV then reworked it with the assistance of other defendants to create 'You’re the One.',plaintiff claims that a bevy of defendants unlawfully copied parts of his musical composition 'You’re the One (For Me)',True,court rejected the allegation of copying noting that the similarity between the two melodies was too attenuated,False,"conclude that his copyright infringement claim fails as a matter of law. It follows that the district court, which granted summary judgment for the defendants, called the proper tune. Affirmed."
160,Jubilee,Back That Ass Up,"Jubilee, he recorded his song in November 1997 and entitled it Back That Ass Up.",Juvenile,Back That Azz Up,Juvenile recorded his song and entitled it Back That Azz Up.,both works contain the poetic four-word phrase “back that ass up” (or is it “azz”?),False,,False,district court entered judgment in accordance with the verdict in favor of the defendants on all of Positive Black Talk’s claims
161,Ralph Vargas and Bland-Ricky Roberts,Bust Dat Groove Without Ride,Plaintiffs assert copyright infringement of their sound recording rights in Bust Dat Groove.,Advertisement for Celebrex,Unnamed composition in the ad,Plaintiffs allege that Pfizer's national advertising campaign ... uses key musical themes from their musical composition and sound recording titled 'Bust Dat Groove Without Ride'.,Plaintiffs allege that Pfizer's national advertising campaign for its Celebrex product uses key musical themes from their musical composition.,False,Courts have ... focused almost exclusively on melodic similarity ... and given little weight ... to harmonic or rhythmic resemblances.,False,Defendants' motion for summary judgment is denied.
162,Yong Wang,Send My Comrade to Beijing,"1959, Plaintiff wrote the song 'Send My Comrades to Beijing'",Zhengben Zhu,Farewell to the Red Army,Zhu wrote his music piece 'Farewell to the Red Army',"Plaintiff's work, Defendant's work, and the folk song 'Long,' by comparing the songs section by section.",True,"The melody of the song mostly imitated a well-known folk song at the time, 'Long'",False,"Therefore, the courts did not find any infringement by Defendant, and dismissed Plaintiff’s claim."
163,Sergio Endrigo,Nelle mie notti,"Endrigo’s infringement allegation centered on the melodic similarity, virtual identity, he claimed, between the first four measures of the principal melody of his song",Luis Bacalov,Il Postino,Luis Bacalov won an Academy Award for his score for the 1994 movie Il Postino (1994),"Endrigo’s infringement allegation centered on the melodic similarity, virtual identity, he claimed, between the first four measures of the principal melody of his song and Bacalov’s work.",True,"melodic similarity, virtual identity, he claimed, between the first four measures of the principal melody of his song",True,The court of appeals reversed the lower court’s decision.
164,Trajik,Holla Back,"The phrase 'holla back' in the hook, or chorus, of the song.",Fabolous,Young 'N,[Different] lyrics; [different] rhythmic constructions are different in that Holla Back varies the beat,'Holla Back' and 'Young N' viewed in the light most favorable to plaintiff.,True,"eighth-note, eighth-note, quarter-note syncopation and its instrumentation; call and response element.",False,"judgment for defendants, the Circuit Court throws the plaintiff an economically worthless bone"
166,Jennifer Armour,Got a Little Bit of Love for You,"Jennifer Armour...composed a demo tape...included an instrumental version of her song, “Got a Little Bit of Love for You”.",Beyoncé,Baby Boy,"On February 12, 2003, Armour registered a copyright of...her song...On May 1, 2006, she registered...an instrumental version.","Armour claims she had a valid copyright to “Little Bit of Love,” that Beyoncé copied parts of “Little Bit of Love” in creating “Baby Boy.”",True,Armour principally claims Beyoncé copied portions of the melody of the two-bar “hook.”,False,"Armour cannot prove Beyoncé had access to Armour’s demo tape before composing the allegedly infringing elements of her own song, so we affirm the summary judgment."
167,Ohio Players,Singing in the Morning,"Bridgeport Music, Inc. owned the copyright to the musical composition 'Singing in the Morning,' and Westbound Records, Inc. owned the common-law copyright to...",Notorious B.I.G.,Ready to Die,"Defendant music publishers FN1 released the Notorious B.I.G. album Ready to Die, the title song of which contained an unlicensed sample of 'Singing in the Morning.'",'Ready to Die' infringed on Bridgeport's copyright to 'Singing in the Morning.',True,Harvey then substituted a portion of the Ohio Players' song 'Singing in the Morning.',True,A jury found in favor of plaintiffs and awarded compensatory and punitive damages.
168,Luther Campbell,It's Your Birthday,"Campbell, professionally known as Luke, is the credited author of the song 'Its Your Birthday.'",50 Cent,In Da Club,"Curtis Jackson, p/k/a 50 Cent, is the recording artist of the song 'In Da Club.'",Plaintiff asserted that the defendants' rap song 'In Da Club' infringes on its copyright for its rap song 'Its Your Birthday.',False,Rap songs have minimal melodic and harmonic material and contain... virtually no protectable original musical expression.,False,"Plaintiff was unable to establish that the 'In Da Club' song is substantially similar to original, copyrightable aspects of 'Its Your Birthday.'"
169,Lo,Lianshang Love Song,,Hu,Bye Bye My Lover!,,,False,,False,
170,Brian Transeau,Aparthenonia,Defendants' sound recording titled 'Aparthenonia',Ralph Vargas and Bland-Ricky Roberts,Bust Dat Groove Without Ride,Plaintiffs' musical composition and recording titled 'Bust Dat Groove Without Ride',"comprising one measure of percussion music looped 27 times. Vargas, 418 F. Supp. 2d at 370.",False,"Aparthenonia is composed of a high-hat, snare drum, bass drum and ghost notes.",False,"For the foregoing reasons, Defendants’ motion for summary judgment is granted and this action is dismissed."
171,Victor Velez,Hasta Hoy,"Plaintiff’s 'evidence' of infringement, which the court reviews thoroughly:... melodic similarity.",Victor Manuelle,Tengo Ganas,The court diligently marshals evidence of Ferrara’s bona fides.,(1) structural similarity based merely on the fact that both songs use 4- and 8-bar phrases in common time,True,"the Opinion carefully compares the sequences of pitches in the melodies of the two songs, demonstrating that they are utterly dissimilar.",False,"Velez sought reconsideration of Judge Castel’s Order (below), which was denied in April 2007, concluding this unfortunate quarrel."
172,Chris Lester,Nowhere Fast,"Chris Lester alleges that he composed, recorded, and registered his song “Nowhere Fast.”",U2,Vertigo,U2 denied the allegations.,Lester alleges that U2 had access to and copied a substantial portion of the song in 'Vertigo.',True,Lester alleges that U2 had access to and copied a substantial portion of the song,False,The suit reached the final pre-trial conference but was dismissed with prejudice.
173,Xu Ruhui,The Mother as Slave (Arrangement),"Arrangements of Chinese Operas, including: The Mother as Slave",Yang Feifei,The Mother as Slave (Recording),"Recording of popular vocal numbers from Chinese Operas, including a portion of The Mother as Slave",Rough English language translation of Shanghai Intermediate Peopleâs Court Judgment: PDF,False,,False,
174,Corey Glover,Make Up Your Mind,'Make Up Your Mind' was written for this sole purpose.,TLC,Unpretty,"defendants’ song “Unpretty,” which was commercially released in February 1999",Dr. Ferrara found that three of the four main harmonies in the songs were identical; their harmonic progressions were 'almost identical'.,True,the melody in more than half of 'Unpretty' shared significant similarities with the chorus of 'Make Up Your Mind.',False,the decision of the district court is VACATED AND REMANDED.
175,Jud's Gallery,Nordrach,Plaintiff’s protectable musical expression is represented in his audio recording.,Gary Moore,Still Got the Blues,"Gary Moore (British, like Harrison) was found liable in this dispute.",Gary Moore ... was found liable in this dispute based on the Court’s inference of his unconscious copying of the Plaintiff’s guitar riff.,True,the Court’s inference of his unconscious copying of the Plaintiff’s guitar riff.,True,Gary Moore ... was found liable in this dispute based on the Court’s inference.
176,Ram Sampath,The Thump,"The Plaintiff, Ram Sampath, is a composer who was engaged by Sony Ericsson to create the jingle 'The Thump' for their upcoming television advertising campaign.",Vishal Dadlani,Krazzy 4 (Remix),The melodic hook recurs throughout both the defending works 'Krazzy 4 (Remix)',The Defendant’s movie 'KRAZZY 4' incorporated the main melodic hook from 'The Thump' in at least 2 songs.,True,the melodic hook recurs throughout both the defending works 'Krazzy 4 (Remix)' and 'Break Free (Remix)',True,Hon. Justice Karnik relies on the traditional 'lay person' standard for determining substantial similarity to find that the Defendants were liable for copyright infringement.
176,Ram Sampath,The Thump,"The Plaintiff, Ram Sampath, is a composer who was engaged by Sony Ericsson to create the jingle 'The Thump' for their upcoming television advertising campaign.",Vishal Dadlani,Breakfree (Remix),the melodic hook recurs throughout both the defending works 'Krazzy 4 (Remix)' and 'Break Free (Remix)',The Defendant’s movie 'KRAZZY 4' incorporated the main melodic hook from 'The Thump' in at least 2 songs.,True,the melodic hook recurs throughout both the defending works 'Krazzy 4 (Remix)' and 'Break Free (Remix)',True,Hon. Justice Karnik relies on the traditional 'lay person' standard for determining substantial similarity to find that the Defendants were liable for copyright infringement.
178,Dustin Evans,Good Ol' Days to Come,'a musical composition titled âGood Olâ Days to Come.',Phil Vassar,Good Ole Days,"In September 2004, the accused song was released, by defendant BMG, on Vassarâs âShaken, Not Stirred â album.","This case involves two country music songs, which both contain the optimistic notion that the âgood old daysâ are actually yet to come.",True,"given the undisputed, substantial differences between the songs in virtually every other relevant aspect, the plaintiffs would have to show remarkable identity between the choruses of the two songs in order to establish âsubstantial similarityâ",False,"the 'all defendants' motion for summary judgment will be granted, the remaining motions denied as moot, and this case will be dismissed."
179,Samuel Steele,Man I Really Love This Team,the defendants copied the meaning of the lyrics of the plaintiff’s song,Jon Bon Jovi,I Love This Town,"lyrics of another performer, Jon Bongiovi",defendants copied the meaning of the lyrics of the plaintiff’s song in creating a video recording,False,,False,a sadly misguided pro se plaintiff à la Ira Arnstein
180,George Clinton,Atomic Dog,"Witness testimony confirmed that ""Atomic Dog"" and other works by Clinton are among the most popular works sampled by rap and hip hop artists.",Public Announcement,D.O.G. In Me,"Public Announcement, an R & B and hip hop group, released the song “D.O.G. in Me” on their All Work, No Play album in 1998.","UMG has appealed the verdict, claiming that the jury was improperly instructed and that UMG was entitled to judgment in its favor as a matter of law on the question of “substantial similarity.”",True,"The “musical” bits in question were the spoken syllable “bow,” the sound of “rhythmic” panting, use of the phrase “Bow wow wow, yippie yo, yippie yea.”",True,"The district court denied UMG’s subsequent motion for a new trial and motion for judgment as a matter of law, and UMG appealed."
181,Benevolence,Party Ain’t Crunk,"The song alleged to have been infringed in this suit, “Party Ain’t Crunk,” was recorded by an aspiring rap artist named Tim Acker, also known as “Benevolence.”",Mary J. Blige,Family Affair,"Plaintiffs-Appellants Leonard Jones and James E. White (collectively, “Plaintiffs”) sued Mary J. Blige, a singer...for copyright infringement. Plaintiffs claim that a song by Blige, “Family Affair,” infringed a song created by Plaintiffs, “Party Ain’t Crunk,","The district court granted summary judgment...finding that Plaintiffs could not show that those Defendants had access to Plaintiffs’ song and that, in any case, Defendants had shown that they created “Family Affair” independently.",True,"In fact, the songs are musically similar insofar as they share an ongoing duple rhythmic tattoo and a mostly monotone vocal line that maps to it.",False,We AFFIRM the district court’s grant of Defendants’ motion for summary judgment.
182,Joe Satriani,If I Could Fly,Joe Satriani and a number called âIf I could flyâ,Coldplay,Viva la Vida,a very popular band (Coldplay) with an envy-provoking lucrative hit (âViva la vidaâ).,Of course the melodies of the two songs sound somewhat alike.,True,after paring the melodically similar portions of the two songs down to their musical essence,False,New York Times (17 September 2009) reports that Joe Satriani has dropped his claim against Coldplay.
183,WEH,Heartbeat,complaining_work: Heartbeat,Sophie Ellis-Bextor,Get Over You,defending_work: Get Over You,,False,,False,
184,David & Peter Currin,I'm Frontin',"Plaintiffs allege that the defendants, Arista Records Inc. and Sony BMG Music Entertainment, distributed a song that infringes the plaintiffs’ copyright.",Pharrell Williams,Frontin',"The plaintiffs allege that a hit song issued by Pharrell Williams and The Neptunes, entitled Frontin’, infringes their copyright.","They allege that a hit song issued by Pharrell Williams and The Neptunes, entitled Frontin’, infringes their copyright.",False,,False,Judgment will enter in favor of the defendants. The Clerk may close the file.
185,Marion Sinclair,Kookaburra Sits in the Old Gum Tree,The two recordings of “Down Under” by the Australian pop group “Men at Work” reproduced “a substantial part” of “Kookaburra”.,Men At Work,Down Under,The two recordings of “Down Under” by the Australian pop group “Men at Work” reproduced “a substantial part” of “Kookaburra”.,The court had to address the similarity between the second two bars from the plaintiffs work against the flute riff in the defendants.,True,I was able to detect a sufficient degree of objective similarity between the melody to meet the test stated in the authorities.,True,Jacobson found in favor of the plaintiff Larrikin.
186,Preston Marshall,You are the One,,Mariah Carey,My Love,,,False,,False,
187,Robert R. Prunte,Fire in the Hole,Black Rob infringes his work 'Fire in the Hole',Black Rob,Fire in Da Hole,defendants' song 'Fire in Da Hole' by Black Rob,Prunté contends that defendants' song 'Fire in Da Hole' by Black Rob infringes his work 'Fire in the Hole',False,"The keys, musical parts and feel (groove) of defendants' 'Fire in Da Hole' and plaintiff's 'Fire in the Hole' are quite different.",False,the Court concludes that the defendants' works are not substantially similar to those of the plaintiff
187,Robert R. Prunte,I'm a Maniac,Plaintiff's song 'I'm a Maniac',Ludacris,Break Bread,defendants' song 'Break Bread' by Ludacris,the defendant’s song 'Break Bread' by Ludacris infringes his song 'I'm a Maniac',False,short phrases such as 'I'm a maniac' are not entitled to copyright protection,False,the Court concludes that the defendants' works are not substantially similar to those of the plaintiff
188,Martel Ellis,Danger,solicited the plaintiff for a license of Jean’s use of a portion of plaintiff’s song 'Danger'.,Wyclef Jean,Welcome to the East,prior to recording “Welcome to the East”,nonsensical refrain “When the East is in the house – Oh my God” from plaintiff’s song.,False,,False,"These allegations, if true, would obviously suggest that Wyclef Jean had concerns about the legality of his use of the plaintiff’s work."
189,Phoenix Phenom,Boom Dynamite,the plaintiff claims she’s '… got the boom dynamite…',Black Eyed Peas,Boom Boom Pow,"commercial, mainstream product like “Black Eyed Peas”",This case is about the word 'boom.',False,Client’s song contains 'little to no harmony or melody.',False,Judge John Walter of the U.S. District Court... issued an order... granting defendants’ motion for summary judgement.
191,Ernest Straughter,The Reasons Why,complaining_work: The Reasons Why,Usher,Burn,defending_work: Burn,complaining_work: The Reasons Why defending_work: Burn,False,,False,
193,"Ryan Lessem, Douglas Johnson",Elevator,complaining_work: Elevator,"The Game, Dr. Dre, 50 Cent",How We Do,defending_work: How We Do,,False,,False,
194,Anonymous,Baghon Mein Behar Hai,"The plaintiff, Saregama, sued [...] for his unlicensed use of an approximately one-second loop from the song “Baghon Mein Bahar Hai.”",The Game,Put You on the Game,"the Indian song, “Baghon Mein Bahar Hai” (BMBH), in the hip-hop song, “Put You on the Game” (PYOG).","Defendants’ digital sampling of BMBH in PYOG was not, therefore, legally actionable.",True,sampled portion of BMBH is performed by a female vocalist [...] G minor arpeggio,False,AFFIRM the district court’s entry of summary judgment in the Defendants’ favor.
195,Eminem,Lose Yourself,"Audi settled with Eminem, admitting using a composition thatâs remarkably similar to Eminemâs song Lose Yourself.",Audi,Advertisement for Audi A6 Avant,Audiâs video advertisement for their new model A6 Avant.,Eight Mile Style claims that Audiâs video advertisement for their new model A6 Avant infringes upon Chryslerâs model 200 advertisement.,True,"Audi settled with Eminem, admitting using a composition thatâs remarkably similar to Eminemâs song Lose Yourself.",True,"Audi settled with Eminem, admitting using a composition thatâs remarkably similar to Eminemâs song Lose Yourself."
196,Stephan Obinger,Unnamed Advertising Melody,The authorship of which the plaintiff claims for himself.,McDonald's Corporation,McDonald's Jingle,Unauthorized use of an advertising melody...for McDonald's jingle.,"Unauthorized use of an advertising melody, the authorship of which the plaintiff claims for himself.",True,The tone sequence claimed by the plaintiff indisputably begins with an ascending third.,False,"The tone sequence G sharp, B flat, C sharp and E flat claimed by the plaintiff...is not a protected work of music."
197,Anthony Stokes,Where are You Now?,complaining_work: Where are You Now?,John Legend,Maxine's Interlude,defending_work: Maxine's Interlude,,False,,False,
200,Meiru Huang,Sleeping Beauty,Huang wrote the original work 'Sleeping Beauty' and performed it.,Xinru Wang,What Is Wrong with Love,Defendant transferred the copyright of the song 'What Is Wrong with Love'.,the court did not find the Defendant copied Huang’s work,True,"The result showed the two songs 98% similar on all aspects, including melody, tempo",False,the Court found Defendant not guilty.
202,The Persuaders,Thin Line Between Love and Hate,Plaintiff’s song... Defendant’s repeated use of the same note that opens Plaintiff’s song.,EMI Record Group,Washed Away,Defendant’s repeated use of the same note that opens Plaintiff’s song.,allegation of infringement based on nothing more than Defendant’s repeated use of the same note that opens Plaintiff’s song.,True,allegation of infringement based on nothing more than Defendant’s repeated use of the same note that opens Plaintiff’s song.,False,"the Plaintiff had unambiguously assigned to another, any property interest he may have had in the recording, and obviously had no standing for such a claim."
204,The Black Keys,Lonely Boy,Complaining work: Lonely Boy; Gold on the Ceiling,Unknown,Advertisement for Home Depot,Defending work: Advertisement for Home Depot,"Complaint against Home Depot, et al.",False,,False,
204,The Black Keys,Gold on the Ceiling,Complaining work: Lonely Boy; Gold on the Ceiling,Unknown,Advertisement for Pizza Hut,Defending work: Advertisement for Pizza Hut,"Complaint against Pizza Hut, et al.",False,,False,
205,Lars Erickson,Pi Symphony,complaining_work: Pi Symphony,Michael John Blake,What Pi Sounds Like,defending_work: What Pi Sounds Like,,False,,False,
206,Barobax,Soosan Khanoom,complaining_work: Soosan Khanoom,Pritam Chakraborty,Pyaar Ki Pungi,defending_work: Pyaar Ki Pungi,,False,,False,
207,Guy Hobbs,Natasha,"Guy Hobbs ... sued Elton John in the United States, claiming copyright infringement of Hobbs's song Natasha.",Elton John,Nikita,Elton John and his lyricist Bernie Taupin published a recording of their song Nikita.,Hobbs seeks compensation from John and Taupin.,False,the infringement claim was based entirely on alleged similarities between Hobbs's and Taupin's lyrics conveying a similar romantic quandary.,False,The Seventh Circuit upheld the district court’s granting of Elton John’s motion to dismiss... Hobbs failed to state a claim for copyright infringement.
208,Will Loomis,Bright Red Chords,Here is a link to a brief recording created by Will Loomis that offers a side-by-side comparison of portions of the two songs.,Jessie J,Domino,undoubtedly caught Loomis’s attention was the fact that the songs at issue here may sound similar here and there.,songs at issue here may sound similar here and there.,True,"songs are also somewhat musically similar, but only in overall format and style",False,the district court never reached the issue of similarity between the songs as it found Loomis’s allegations of defendant’s access to his work so attenuated that summary judgment was the appropriate disposition.
209,Syl Johnson,Different Strokes,,Usher,Call Me a Mack,,,False,,False,
210,Bloodstone,I'm Doing My Job,complaining work: I'm Doing My Job,Kanye West,Doin My Job,defending work: Doin My Job,,False,,False,
211,Rebecca Francescatti,Juda,"In 1998, Francescatti wrote a song entitled 'Juda,'...",Lady Gaga,Judas,Gaga decided on 'Judas' as the title of the song...,"Although we find that Francescatti has established a reasonable possibility of access, no reasonable juror could find that the songs are substantially similar.",True,"With respect to the melodies, we start by addressing the fact that McGeehan applied five alterations to demonstrate similarity...",False,No reasonable trier of fact could find that Defendants copied protected expression in Francescatti's song. The songs do not 'share enough unique features...'
211,Rebecca Francescatti,Juda,"In 1998, Francescatti wrote a song entitled 'Juda,'...",Lady Gaga,Judas,Gaga decided on 'Judas' as the title of the song...,No reasonable trier of fact could find that the songs' expressions are substantially similar.,True,...find under the ordinary observer standard that the allegedly infringing elements of the Gaga Song capture the total concept and feel of the Francescatti Song.,False,"Accordingly, we grant Defendants' motion for summary judgment. It is so ordered."
212,Brian Pringle,Take a Dive (Dance Version),"Pringle allegedly made several derivative versions of 'Take a Dive,' including a dance version.",Black Eyed Peas,I Gotta Feeling,"In 2009, Defendant The Black Eyed Peas released the song 'I Gotta Feeling.'",the finished version of 'I Gotta Feeling.',True,Pringle must show that (1) defendants had access... and (2) IGF and TAD are substantially similar in protected expression.,False,The Court GRANTS Moving Defendants’ Motion for Summary Judgment.
213,The Backyard Heavies,Bumpin' Bus Stop,,Kanye West,Gold Digger,,Complaint: PDF Order by District Judge Beverly Reid O’Connell: PDF,False,,False,
214,Eddie Bo & The Soul Finders,"Hook & Sling, Pt. I","In both contexts, the Court holds that 'oh' is qualitatively insignificant.","Jay-Z, Rihanna, and Kanye West",Run This Town,Defendants allegedly produced and released an audio recording entitled Run This Town,Plaintiff allegedly owns copyrights in a musical work called Hook & Sling Part I.,False,The melody and lyrics are entirely different.,False,"Accordingly, defendants’ motion to dismiss the complaint is granted in all respects."
216,Paul Batiste,I Like Your Way,the plaintiff’s claims … involving dozens of musical works and dozens of defendants,T-Pain,Put It Down,plaintiff’s claims … to make sense of this jumble of allegations based on …”,plaintiff’s claims … to make sense of this jumble of allegations based on …”,True,unsupported and repetitive statements about the “striking similarity” found in defendants’ works,False,"Judge Engelhardt exempted infringement allegations involving three of the plaintiff’s works from the defendants’ Motion to Dismiss, which he otherwise granted."
216,Paul Batiste,Blues Man,the plaintiff’s claims … involving dozens of musical works and dozens of defendants,T-Pain,Reggae Nigh,,,False,,False,"Judge Engelhardt exempted infringement allegations involving three of the plaintiff’s works from the defendants’ Motion to Dismiss, which he otherwise granted."
217,"Klaus Wüsthoff, Hans Günter Wagener",Fanfaren-Blues,complaining_work: Fanfaren-Blues,ZDF,Today Jingle,"defending_work: ""Today"" Jingle",,False,,False,
218,Ahmad Javon Lane,X.O.X.O.,The plaintiff claimed that the defendant Beyonce had direct access to his song 'XOXO',Beyoncé,XO,shortly before she created her song 'XO',the plaintiff's infringement claim was based on purported musical similarities between the openings of the two songs.,True,"the court sensibly, and authoritatively, dismissed the plaintiff's assertion finding 'little, if anything, in common between [the music] of XOXO and XO.'",False,"the court sensibly, and authoritatively, dismissed the plaintiff's assertion."
219,Lenny Lee Goldsmith,Zimba ku,complaining_work: Zimba ku,Jessie J,Price Tag,defending_work: Price Tag,,False,,False,
221,Trouble Funk,Say What,Tuf America's claim was based on a non-exclusive right it had obtained from the owner of 'Trouble Funk's' copyrights.,Beastie Boys,Shadrach,"Defending: Diamond, Horovitz, et al. [Beastie Boys]",plaintiff's clear lack of standing,False,,False,in 2015 the court granted defendants' request for summary judgement
221,Trouble Funk,Drop the Bomb,Tuf America's claim was based on a non-exclusive right it had obtained from the owner of 'Trouble Funk's' copyrights.,Beastie Boys,Car Thief,"Defending: Diamond, Horovitz, et al. [Beastie Boys]",plaintiff's clear lack of standing,False,,False,in 2015 the court granted defendants' request for summary judgement
221,Trouble Funk,Drop the Bomb,Tuf America's claim was based on a non-exclusive right it had obtained from the owner of 'Trouble Funk's' copyrights.,Beastie Boys,Hold It,"Defending: Diamond, Horovitz, et al. [Beastie Boys]",plaintiff's clear lack of standing,False,,False,in 2015 the court granted defendants' request for summary judgement
222,Bo Carter,Corrine Corrina,"Bo Carter, the singer who registered the version of 'Corinna' on which this claim is based.",Rod Stewart,Corrina Corrina,Rod Stewart may be an opportunist foreigner who has capitalized upon American musical genres.,Rod Stewart’s version of the song is no more similar to the plaintiff’s than is any one of the many other extant versions.,False,,False,At plaintiff’s behest the case was terminated in Nov. 2015 ('voluntary dismissal without prejudice').
