year,country,case_name,link,court,complaining_work,defending_work,complaining_author,defending
2016,US,"PK Music v. Justin Timberlake, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-pk-music-v-justin-timberlake-et-al/,S.D.N.Y.,A New Day is Here at Last,Damn Girl,Perry Kibble,"Justin Timberlake, et al."
2016,FR,Feriol v. Maurici,https://blogs.law.gwu.edu/mcir/case/feriol-v-maurici/,Cour de cassation [supreme court for judicial matters],Les Chansons d’artiste,Si seulement je pouvais lui manquait,Laurent Feriol,Calogero Joseph Salvatore Maurici (“Calogero”)
2017,US,"Parker, et al. v. Winwood, et al.",https://blogs.law.gwu.edu/mcir/case/parker-v-winwood-et-al/,M.D. Tenn.,Ain't That a Lot of Loving,Gimmee Some Lovin,Willia Dean Parker & Homer Banks,"Mervyn Winwood, et al."
2017,US,Roberts v. Gordy,https://blogs.law.gwu.edu/mcir/case/roberts-v-gordy/,11th Cir.,Hustlin,Party Rock Anthem,"Wiliam Roberts, Andrew Harr, Jermaine Jackson","Stefan & Skyler Gordy (""LMFAO"")"
2017,US,Mitchell v. Priority Records,https://blogs.law.gwu.edu/mcir/case/mitchell-v-priority-records-et-al/,W.D. Ky.,Star in the Ghetto,If It Ain't Ruff,Leroy Mitchell,"Andre Young( ""Dr. Dre"")"
2017,US,Abdul Muhammad v. Chancellor Bennett,https://blogs.law.gwu.edu/mcir/case/inplay-abdul-muhammad-v-chancellor-bennett/,N.D. Ill.,Bridge Through Time,Windows,Abdul Muhammad (Erik Saunders),Chancellor Bennett (“Chance Rapper”)
2017,US,"Lastrada Entertainment v. Mark Ronson, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-lastrada-entertainment-v-mark-ronson-et-al/,S.D.N.Y.,More Bounce to the Ounce,Uptown Funk,Roger Troutman,Mark Ronson
2017,US,"Enclosed Music v. Steinman, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-enclosed-music-v-james-steinman-et-al/,C.D. Cal.,[I’d do] Anything for You,I’d do Anything for Love,"Jon Dunmore, Mike Molina",James Steinman
2017,US,"Sean Hall, et al. v. Taylor Swift, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-sean-hall-et-al-v-taylor-swift-et-al/,C.D. Cal.,Playas Gon’ Play,Shake It Off,Sean Hall,Taylor Swift
2017,US,"Estate of Barre v. Beyoncé Knowles Carter, Sony Music, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-barre-v-beyonce-knowles-carter-sony-music-et-al/,E.D. La.,Booking the Hoes from New Wildings; A 27 Piece Huh?,Formation,Anthony Barre aka “Messy Mya”,Beyoncé Knowles Carter
2017,US,"Golden Crown Publishing v. Sony Music, Jonathan Smithy [aka “Lil’ Jon”], et al.",https://blogs.law.gwu.edu/mcir/case/inplay-golden-crown-publishing-v-sony-music-jonathan-smithy-aka-lil-jon-et-al/,S.D.N.Y.,Turn Down for What?,Turn Down for What?,"Fredley Saurel [aka “Freddy GZ”], et al.","Jonathan Smith [aka Lil’ Jon”], et al."
2017,US,"Bosh v. Univision Communications, Inc.",https://blogs.law.gwu.edu/mcir/case/inplay-joel-bosh-v-univision-communications/,S.D. Fla.,Yo Soy Boricua,Advertisement for Spanish language Sesame Street,Joel Bosh,"Univision Communications, Inc."
2017,IN,Super Cassettes v. Trimurti Films,https://blogs.law.gwu.edu/mcir/case/super-cassetes-industries-pvt-ors-vs-trimurti-films-pvt-ltd/,Bom. HC,Kehdoon Tumhe,Socha Hai (Kehdoon Tumhe Remix,Kishore Kumar & Asha Bhosle,Jumin Nautiyal & Neeti Mohan
2017,US,"Stone et al. v. TIG7 Publishing, LLC et al.",https://blogs.law.gwu.edu/mcir/case/stone-et-al-v-tig7-publishing-llc-et-al/,N.D. Ga.,Funk You Up,Uptown Funk,The Sequence,Bruno Mars & Mark Ronson
2018,US,"Paul Rose v. Paul David Hewson, aka “Bono”, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-rose-hewson/,S.D.N.Y.,Nae Slappin',The Fly,Paul Rose,"Paul Hewson, aka “Bono”, et al."
2018,US,"Abiodun Oyewole v. Rita Ora, et al.",https://blogs.law.gwu.edu/mcir/case/abiodun-oyewole-vs-rita-ora-et-al/,S.D.N.Y.,When the Revolution Comes,How We do Party; Party and Bullshit; Calm Down,Abiodun Oyewole,Rita Ora; Christopher Wallace; Marshall Mathers & Trevor Smith
2018,US,"Wilson v. Dynatone Pub., et al.",https://blogs.law.gwu.edu/mcir/case/wilson-v-dynatone-pub-et-al/,2d Cir.,Sho' Nuff,Suit & Tie,"John Wilson, Charles Still, Terrance Stubbs",Justin Timberlake
2018,US,"Cortes-Ramos v. Enrique Martin-Morales (""Ricky Martin"")",https://blogs.law.gwu.edu/mcir/case/luis-cortes-ramos-v-sony-ricky-martin-et-al/,1st Cir.,World Cup Song Contest Entry,Vida,Luis Cortes-Ramos,Ricky Martin
2018,US,"Fahmy v. Jay Z, et al.",https://blogs.law.gwu.edu/mcir/case/fahmy-v-jay-z-et-al/,9th Cir.,"Khosara, Khosara",Big Pimpin',Baligh Hamdi,"Jay Z, et al."
2018,US,"Pharrell Williams, et al. v. Frankie Gaye, et al.",https://blogs.law.gwu.edu/mcir/case/pharrell-williams-et-al-v-frankie-gaye-et-al/,9th Cir.,Got to Give it Up,Blurred Lines,Marvin Gaye,"Robin Thicke, Pharrell Williams"
2018,US,"Lela Weems v. Odd Future Records, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-lela-weems-v-odd-future-records-et-al/,C.D. Cal.,Why Can't There Be Love,Deathcamp,Herman Weems,Tyler Okonma
2018,US,"Michael May v. Miley Ray Cyrus, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-michael-may-v-miley-ray-cyrus-et-al/,S.D.N.Y.,We Run Things,We Can't Stop,Michael May,Miley Ray Cyrus
2018,US,[INPLAY] Platinum Jack Entertainment v. ESPN and Chick-Fil-A,https://blogs.law.gwu.edu/mcir/case/inplay-platinum-jack-entertainment-v-espn-and-chick-fil-a/,N.D. Tex.,Best I Had,Ads Aired on ESPN,Drayter [Band],Chick-Fil-A Advertising Agency
2018,US,Carey v. Sheeran,https://blogs.law.gwu.edu/mcir/case/inplay-carey-v-sheeran/,S.D.N.Y.,When I Found You,The Rest of Our Life,"Sean Carey, Beau Golden, Jasmine Rae",Edward Sheeran
2018,US,"Del Rio v. Virgin America, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-del-rio-v-virgin-america-et-al/,C.D. Cal.,Flight Safety Video,,Neomi Del Rio,Virgin America
2018,US,"Jamie Ciero v. Disney, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-jamie-ciero-v-disney-et-al/,C.D. Cal.,Volar,Let It Go,Jamie Ciero,Disney
2018,US,Tracy Chapman v. Nicki Minaj,https://blogs.law.gwu.edu/mcir/case/tracy-chapman-v-nicki-minaj/,C.D. Cal.,Baby Can I Hold You,Sorry,Tracy Chapman,Nicki Minaj ft. Nas
2018,US,"[INPLAY] Brighter Sky Productions LLC, et al. v. Marriott International, Inc., et al.",https://blogs.law.gwu.edu/mcir/?post_type=case&p=10076&preview=true,N.D.Ill.,Rocket Boys Musical,October Sky Musical,"Dan Tramon, Diana Belkowski, and Carl Anthony Tramon","Marriott International, Inc, and Universal Pictures"
2018,US,"Benny Mardones, et al. v. Cyndi Lauper, et al.",https://blogs.law.gwu.edu/mcir/?post_type=case&p=10000&preview=true,S.D.N.Y.,Into the Night,Raise You Up,Benny Mardones & Robert Tepper,Cyndi Lauper
2018,US,"Richard Morrill v. Gwen Stefani, Pharrell Williams, et al.",https://blogs.law.gwu.edu/mcir/?post_type=case&p=9569&preview=true,C.D. Cal.,Who's Got My Lightah (1996) / Who's Got My Lighter (2009),Spark the Fire,Richard Morrill,Gwen Stefani & Pharrell Williams
2018,DE,Stahlgewitter v. Frei.Wild,https://blogs.law.gwu.edu/mcir/case/stahlgewitter-v-frei-wild/,OLG [Higher State Court] Hamburg,Auftrag Deutsches Reich,"Schenkt uns Dummheit, kein Niveau",Stahlgewitter,Frei.Wild
2018,JP,Harumaki Gohan v. Mori,https://blogs.law.gwu.edu/mcir/case/harumaki-gohan-v-mori/,,Hachigatsu no Rainy [August Rainy],M.A.K.E.,Harumaki Gohan,Yamato Mori
2019,NZ,Eight Mile Style v. New Zealand National Party,https://blogs.law.gwu.edu/mcir/case/eight-mile-style-v-new-zealand-national-party-et-al/,H.C. N.Z.,Lose Yourself,Eminem Esque,"Marshall Mathers, et al.",Michael Cohen
2019,US,The Rolling Stones v. The Verve,https://blogs.law.gwu.edu/mcir/case/the-rolling-stones-v-the-verve/,,The Last Time,Bittersweet Symphony,The Rolling Stones,The Verve
2019,US,"Andrew Green v. Kanye West, et al.",https://blogs.law.gwu.edu/mcir/case/andrew-green-v-kanye-west/,D.S.C.,Video Recording of child praying,Ultralight Beam,Alice T. Johnson and N.G (minor child),Kanye West
2019,US,"William Smith et al. v. ""The Weeknd""",https://blogs.law.gwu.edu/mcir/case/william-smith-et-al-v-the-weeknd-et-al/,C.D. Cal,I Need to Love,A Lonely Night,"William Smith, Brian Clover, Scott McCulloch",Abel M. Tesfaye (“The Weeknd”)
2019,US,"Song-a-tron Music, et al. v. Jones, et al.",https://blogs.law.gwu.edu/mcir/case/song-a-tron-music-et-al-v-jones-et-al/,S.D.N.Y,Back it Up,24 Hours,Song-A-Tron Music,"Christian Jones (""TeeFLii"")"
2019,DE,[INPLAY] Hütter v. Pelha,https://blogs.law.gwu.edu/mcir/case/hutter-v-pelham/,Court of Justice of EU,Metall auf Metall,Nur mir,Kraftwerk,Sabrina Setlur
2019,US,Mimi Korman v. Julio Iglesias,https://blogs.law.gwu.edu/mcir/?post_type=case&p=10083&preview=true,11th Cir.,Me Olvide de Vivir,Me Olvide de Vivir,Mimi Korman,Julio Iglesias
2019,US,"Rodriguez v. Avalos, et al.",https://blogs.law.gwu.edu/mcir/case/rodriguez-v-avalos/,W.D. Tex.,Pediré,Pediré,Esmeralda Lucy Rodriguez,"Eric Avalos, Courtney Rico, Chavalos Music, Inc."
2019,US,"[INPLAY] Nicholas v. Pigott, et al.",https://blogs.law.gwu.edu/mcir/case/nicholas-v-pigott-et-al/,E.D. La.,Roll Call (Instrumental),That beat; In my feelings; Nice for what,"Samuel Nicholas III (""Sam Scully"")","Adam J. Pigott (""BlaqNmilD""); Aubrey Drake Graham (""Drake"")"
2019,US,"[INPLAY] Brandon Lee (""Don Lee""), et al. v. Hill (""Lil Nas X""), et al.",https://blogs.law.gwu.edu/mcir/case/brandon-lee-don-lee-et-al-v-hill-lil-nas-x-et-al/,S.D.N.Y.,gwenXdonlee4-142,Rodeo,"Brandon Lee (""Don Lee"") & Glen Demeritt","Montero Lamar Hill (""Lil Nas X""), et al."
2019,US,Zachry Brown v. Ryan Tedder,https://blogs.law.gwu.edu/mcir/case/zachary-brown-v-ryan-tedder-inplay/,C.D. Cal.,Nowhere Left to Go,,Zachry Brown,Ryan Tedder
2019,US,"Mark Halper v. Sony/ATV Music Publishing, LLC, et al.",https://blogs.law.gwu.edu/mcir/?post_type=case&p=10280&preview=true,6th Cir.,Don't Throw Our Love Away,Stay With Me,Mark Halper,"Sam Smith, et al."
2019,US,New Day Worldwide v. Taylor Swift,https://blogs.law.gwu.edu/mcir/case/new-day-worldwide-v-taylor-swift-2/,C.D. Cal.,Haters gone Hate,Shake it Off,Jesse Graham,Taylor Swift
2019,US,"[INPLAY] Key, et al. (""Yellowcard"") v. Higgins, et al. (""Juice WRLD"")",https://blogs.law.gwu.edu/mcir/case/key-et-al-yellowcard-v-higgins-et-al-juice-wrld/,C.D. Cal,Holly Wood Died,Lucid Dreams,"Ryan Key, et al. (""Yellowcard"")","Jared A. Higgins (""Juice WRLD""), et al."
2019,US,Brown v. Netflix,https://blogs.law.gwu.edu/mcir/case/brown-v-netflix-2/,S.D.N.Y.,Fish Sticks n' Tater Tots (song),Burlesque: Heart of the Glitter Tribe (film),"Tamita Brown, et al.","Netflix, et al."
2019,US,Guity v. Santos,https://blogs.law.gwu.edu/mcir/case/guity-v-santos/ ,S.D.N.Y.,Eres Mia,Eres Mia,Nazim Guity,Anthony Santos
2019,US,"Pickett v. Migos Touring, Inc., et al.",https://blogs.law.gwu.edu/mcir/case/pickett-v-migos-touring-inc-et-al/,S.D.N.Y.,Walk It Like I Talk It,Walk It Talk IT,"Leander C. Pickett (""M.O.S."")","Migos Touring, Inc. (""Migos""), et al."
2019,US,Stone v. Dudley,https://blogs.law.gwu.edu/mcir/case/stone-v-dudley/,C.D. Cal.,,Sharon Stoned,Sharon Stone,Chelsea Dudley a/k/a/ Chanel West Coast
2019,US,"Batiste v. Lewis, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-batiste-v-ben-haggerty-aka-macklemore-et-al/,E.D. La.,Hip Jazz; World of Blues; Salsa 4 Elise; I Got the Rhythm On,Thrift Shop; Neon Cathedral,Paul Batiste,"Ryan Lewis; Ben Haggerty (""Macklemore"")"
2019,US,[INPLAY] Richardson v. Kharbouch,https://blogs.law.gwu.edu/mcir/case/richardson-v-kharbouch/,N.D. Ill.,*Hood* Pushin’ Weight,Ain’t Worried About Nothin,Eddie Lee Richardson aka Hotwire the Producer,"Karim Kharbouch aka French Montana;
Excuse My French"
2019,US,Hines v. Roc-A-Fella Records Inc. et al.,https://blogs.law.gwu.edu/mcir/case/hines-v-roc-a-fella-records-inc-et-al/,S.D.N.Y.,Help Me Put Out The Flame (In My Heart),Paper Chase; Toe 2 Toe,Ernie Hines,Jay-Z; Timbaland
2019,US,"Jefferson v. Raisen, et al.",https://blogs.law.gwu.edu/mcir/case/jefferson-v-raisen-et-al-inplay/,C.D. Cal.,Truth Hurts,Healthy (Demo),"Melissa Jefferson (""Lizzo"")",Justin Raisen; Jeremiah Raisen
2019,IN,Saregama India v. Balaji,https://blogs.law.gwu.edu/mcir/case/saregama-india-limited-v-balaji-motion-pictures-limited-ors/,Delhi H.C.,Var Dhagala Lagli Kal,Dhagala Lagali Kala,Dada Kondke,"Meet Bros, et al."
2020,US,Estate of James Oscar Smith v. Cash Money Records,https://blogs.law.gwu.edu/mcir/case/estate-of-james-oscar-smith-v-cash-money-records-et-al/,2d Cir.,Jimmy Smith Rap,Pound Cake,Jimmy Smith,"Aubrey Drake Graham aka ""Drake"""
2020,US,"Yeasayer v. Tesfaye (""The Weeknd"")",https://blogs.law.gwu.edu/mcir/case/yeasayer-v-tesfaye-the-weeknd-inplay/,S.D.N.Y.,Sunrise,Pray for Me,"Yeasayer, LLC",Abel Makkonen Tesfaye (“The Weeknd”); Kendrick Lamar Duckworth
2020,US,Michael Skidmore v. Led Zeppelin,https://blogs.law.gwu.edu/mcir/case/inplay-michael-skidmore-v-led-zeppelin/,9th Cir.,Taurus,Stairway to Heaven,Randy Wolfe,Jimmy Page
2020,US,"Marcus Gray, et al. v. Katy Perry",https://blogs.law.gwu.edu/mcir/case/marcus-gray-et-al-v-katy-perry-et-al/,C.D. Cal.,Joyful Noise,Dark Horse,"Marcus Gray, et al.","Katy Perry, et al."
2020,US,[INPLAY] Armes v. Post,https://blogs.law.gwu.edu/mcir/case/armes-v-post-inplay/,C.D. Cal.,Circles,,Tyler Armes,"Austin Post (aka ""Post Malone"")"
2020,US,[INPLAY] Gordon v. Chambers,https://blogs.law.gwu.edu/mcir/case/gordon-v-chambers-inplay/,E.D.N.Y.,Yung Gordon Intro,Stoopid,"Seth Gordon (""Yung Gordon"")","Brytavious Chambers (“Tay Keith”);
Daniel Hernandez (“Takashi 6ix9ine”)"
2020,US,"[INPLAY] Griffin v. Sheeran, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-griffin-v-sheeran-et-al/,S.D.N.Y.,Let's Get It On,Thinking Out Loud,Marvin Gaye,"Amy Wadge, Ed Sheeran"
2020,US,"[INPLAY] Jackson v. Apple, Inc.",https://blogs.law.gwu.edu/mcir/case/jackson-v-apple-inc/,N.D. Cal.,Side Show,,Darell Jackson,"Apple, Inc., et al."
2020,US,[INPLAY] Basil v. AMC,https://blogs.law.gwu.edu/mcir/case/basil-v-amc-inplay/,C.D. Cal.,Mickey,,Toni Basil,
2020,US,"[INPLAY] Stines v. Knowles, et. al.",https://blogs.law.gwu.edu/mcir/case/stines-v-knowles-et-al/,C.D. Cal.,,Black Effect,,The Carters
2020,US,"Jackson (""50 Cent"") v. Roberts",https://blogs.law.gwu.edu/mcir/case/jackson-50-cent-v-roberts/,2d Cir.,In Da Club,Renzel Remixes,"Curtis James Jackson (""50 Cent"")","William Leonard Roberts II (""Rick Ross"")"
2020,US,[INPLAY] Hayes v. Lamar,https://blogs.law.gwu.edu/mcir/case/hayes-v-lamar/,C.D. Cal.,,Loyalty,Terrance Hayes,Kendrick Lamar
2020,US,Stone v. Grande,https://blogs.law.gwu.edu/mcir/case/stone-v-grande/,S.D.N.Y.,"You Need It, I Got It",7 Rings,Josh Stone,Ariana Grande
2020,UK,Sheeran v. Chokri,https://blogs.law.gwu.edu/mcir/case/sheeran-et-al-v-chokri-et-al/,EWHC [High Court of Justice],Oh Why,Shape of You,Sam Chokri,Ed Sheeran
2020,US,Structured Asset Sales v. Sheeran,https://blogs.law.gwu.edu/mcir/case/inplay-griffin-v-sheeran-et-al/,S.D.N.Y.,Let's Get It On,Thinking Out Loud,Marvin Gaye,Ed Sheeran
2020,US,"Norwood v. Quality Control Music, LLC",https://blogs.law.gwu.edu/mcir/case/norwood-v-quality-control-music-llc/,N.D. Ga.,Martian,How Did I Get Here ft. J. Cole,Barbara Norwood,Offset
2021,US,"Nwosuocha v. Glover, et al.",https://blogs.law.gwu.edu/mcir/case/nwosuocha-v-glover-et-al/,S.D.N.Y.,Made in America,This Is America,Emelike Nwosuocha,Donald Glover
2021,US,"[INPLAY] Cooper, et al. v. Brown, et al.",https://blogs.law.gwu.edu/mcir/case/cooper-et-al-v-brown-et-al-inplay/,S.D. Fla.,I Love Your Dress,No Guidance,Mr. Cooper,Chris Brown & Drake
2021,US,"[INPLAY] Cates v. Shlemovitz, et al.",https://blogs.law.gwu.edu/mcir/case/cates-v-shlemovitz-et-al-inplay/,N.D.N.Y.,She Loves Her Job,FeBreze Tagline,Cameron Cates,"Shlemovitz, et al."
2021,US,Robinson v. Wilburn,https://blogs.law.gwu.edu/mcir/case/robinson-v-wilburn/,N.D. Ill.,When U Think About It,When I Think About It,Gutta,Future
2021,US,Johannsongs-Publishing Ltd. v. Lovland,https://blogs.law.gwu.edu/mcir/case/johannsongs-publishing-ltd-v-lovland/,9th Cir.,Söknuður,You Raised Me Up,Jóhann Helgason,Rolf Løvland
2021,US,[InPlay] Cleveland Constantine Browne et al. v. Rodney Sebastian Clark Donalds et al.,https://blogs.law.gwu.edu/mcir/case/cleveland-constantine-browne-et-al-v-rodney-sebastian-clark-donalds-et-al/,C.D. Cal.,Fish Market,Despacito,Cleveland Browne & Wycliffe Johnson,Luis Fonsi
2021,US,"AOM Music, Inc v. Benito Antonio Martínez Ocasio (p/k/a Bad Bunny)",https://blogs.law.gwu.edu/mcir/case/aom-music-inc-v-benito-antonio-martinez-ocasio-p-k-a-bad-bunny-jd-draft/,C.D. Cal.,Playero Works,Safaera,"AOM Music, Inc.",Benito Antonio Martínez Ocasio p/k/a Bad Bunny
2022,US,[INPLAY] Ultra v. West,https://blogs.law.gwu.edu/mcir/case/ultra-v-west-inplay/,S.D.N.Y.,Move Your Body,Flowers,Marshall Jefferson,Kanye West
2022,US,Frisby v. Sony,https://blogs.law.gwu.edu/mcir/case/frisby-v-sony/,9th Cir.,Shawty So Cold,Deja Vu; Exchange,G-Money,J. Cole; Bryson Tiller
2022,US,"Cope v. Dua Lipa, et al",https://blogs.law.gwu.edu/mcir/case/cope-v-dua-lipa-et-al-inplay/,E.D. La.,Live Your Life,Levitating,Artikel Sound,Dua Lipa
2022,US,[InPlay} Quinn et al v. Powell et al.,https://blogs.law.gwu.edu/mcir/case/quinn-et-al-v-powell-et-al/,N.D. Ga.,Back N Forth,Living My Best Life,"Darwin Quinn, Mitchelle'l Sium,","Roland Powell p/k/a Lil' Duvall, Rich Broke Entertainment, LLC"
2022,US,[InPlay] Larball Publ'g Co. v. Lipa,https://blogs.law.gwu.edu/mcir/case/larball-publg-co-v-lipa/,S.D.N.Y.,Wiggle and Giggle All Night,Levitating,"Russell Brown, Sandy Linzer",Dua Lipa
2022,US,[InPlay] Phase One Network v. Kanye West,https://blogs.law.gwu.edu/mcir/case/phase-one-network-v-kanye-west-inplay/,S.D.N.Y,South Bronx,Life of the Party,"Lawrence Parker, Scott Sterling",Kanye West
2022,US,Moten v. Def Jam,https://blogs.law.gwu.edu/mcir/case/moten-v-def-jam/,N.D. Tex.,Unspecified Sermon,Come to Life,Bishop David Paul Moten,Kanye West
2022,US,Patrick v. Poree,https://blogs.law.gwu.edu/mcir/case/patrick-v-poree/,N.D. Ga.,I Do What I Want,,Yolanda Patrick,April Louise Poree
2022,US,Grigson v. Lopez,https://blogs.law.gwu.edu/mcir/case/grigson-v-lopez-et-al-inplay/,C.D. Cal.,That Girl,Some Things Never Change,Daniel Grigson,Kristen Anderson Lopez
2022,US,Sound & Color v. Sam Smith,https://blogs.law.gwu.edu/mcir/case/sound-color-v-sam-smith/,C.D. Cal.,Dancing with Strangers,Dancing with a Stranger,"Jordan Vincent, Christopher Miranda","Sam Smith, Normani"
2022,US,[InPlay] Third Side Music v. Evenflo Co.,https://blogs.law.gwu.edu/mcir/case/third-side-music-v-evenflo-co/,S.D. Ohio,Best Friend,Ad Background Music,Sofi Tukker,Evenflo
2023,US,Astley v. Hauri,https://blogs.law.gwu.edu/mcir/case/astley-v-hauri/,"Cal.Super.Ct., Los Angeles County",Never Gonna Give You Up,Betty (Get Money),Rick Astley,Yung Gravy
2023,US,Stone v. Carey,https://blogs.law.gwu.edu/mcir/case/stone-v-carey/,C.D. CA,All I Want for Christmas is You,All I Want for Christmas is You,"Andy Stone, AKA Vinnie Vance",Mariah Carey
2023,US,[InPlay] Formal Entertainment v. Zayn Malik,https://blogs.law.gwu.edu/mcir/case/formal-entertainment-v-zayn-malik/,C.D. CA,Somebody Tonight,Better,"Patrick Simmons p/k/a ""Havyn""","Zayn Malik p/k/a ""Zayn"""
2023,US,"[InPlay] Darko v. Grahm, et al.",https://blogs.law.gwu.edu/mcir/case/darko-v-graham-et-al-inplay/ ,S.D.N.Y.,Oye Ohene,Calling My Name,Obrafour,Drake
2023,US,"[InPlay] Concord Music Group, et al. v. Anthropic PBC",https://blogs.law.gwu.edu/mcir/case/concord-music-group-et-al-v-anthropic-pbc/,M.D. Tenn.,NA,NA,"Concord Music, Universal Music Group and ABKCO Music",Anthropic PBC
2024,US,Chamberlain v. Dolo Entertainment,https://blogs.law.gwu.edu/mcir/case/chamberlain-v-dolo-entertainment/,E.D.N.Y.,In That Mood,In Ha Mood,Duvall Chamberlain,Isis Naija Gaston a/k/a Ice Spice
2024,US,"Peabody & Company LLC v. Wayne, et al.",https://blogs.law.gwu.edu/mcir/case/peabody-company-llc-v-wayne-et-al/,S.D.N.Y.,Come On Down,The Box,Greg Perry,Roddy Ricch
2024,US,"Johnston v. Kroeger, et al.",https://blogs.law.gwu.edu/mcir/case/johnston-v-kroeger-et-al/ ,5th Cir.,Rockstar,Rockstar,Snowblind,Nickelback
